incident_id,incident_date,sector,region,attack_type,threat_actor,records_affected,downtime_hours,ransom_demand_usd,detection_time_hours,severity_score,response_team_size,regulatory_fine_usd,resolved_within_7_days,data_exfiltration,zero_day_used
INC-00001,2024-12-29,Energy,Middle East & Africa,Phishing,State-Sponsored,100991,26.5,1393,26.48,6.24,4,0,1,0,0
INC-00002,2023-11-25,Retail,Latin America,Malware,Insider,136440,53.43,27667,35.26,5.89,16,0,1,0,0
INC-00003,2022-03-14,Government,Asia Pacific,Malware,Cybercriminal Group,47547,17.48,13588,50.7,5.86,7,49245,0,0,0
INC-00004,2024-08-29,Retail,Asia Pacific,Credential Theft,State-Sponsored,20357,56.63,28591,19.93,5.77,10,0,0,0,0
INC-00005,2023-04-07,Healthcare,Latin America,DDoS,Hacktivist,43241,8.84,5952,47.71,4.26,8,19890,0,0,0
INC-00006,2021-07-03,Finance,North America,DDoS,Insider,232836,9.61,6304,23.65,4.05,12,68066,1,0,0
INC-00007,2024-08-05,Finance,Asia Pacific,Supply Chain,Cybercriminal Group,128988,0.5,0,33.63,5.21,14,16064,1,0,0
INC-00008,2022-04-20,Retail,Middle East & Africa,Malware,Unknown,30087,28.56,44100,39.25,6.53,9,32056,0,0,0
INC-00009,2021-08-01,Retail,North America,Phishing,Unknown,226010,4.36,21411,24.44,2.23,16,58358,1,0,0
INC-00010,2025-02-22,Retail,Asia Pacific,Ransomware,State-Sponsored,78030,10.69,223065,77.33,7.18,8,7813,0,1,0
INC-00011,2022-05-02,Education,Latin America,Ransomware,State-Sponsored,90105,9.58,364736,31.23,5.7,8,0,1,1,0
INC-00012,2022-04-25,Education,Asia Pacific,Credential Theft,Unknown,127947,19.69,62353,62.26,3.26,9,0,0,0,0
INC-00013,2022-04-13,Energy,Asia Pacific,Ransomware,Cybercriminal Group,15663,0.5,278021,13.64,5.46,11,21835,1,1,0
INC-00014,2024-07-21,Healthcare,Middle East & Africa,Malware,Hacktivist,229306,0.5,125074,19.7,3.86,7,29599,0,0,0
INC-00015,2021-12-02,Education,Middle East & Africa,Phishing,Insider,420912,44.37,56472,62.24,5.39,11,17741,0,0,0
INC-00016,2024-05-16,Government,North America,Supply Chain,Cybercriminal Group,26945,0.5,0,39.91,5.74,16,0,0,1,0
INC-00017,2023-08-17,Government,Asia Pacific,Phishing,Insider,154814,45.79,57030,35.81,6.77,8,0,1,0,0
INC-00018,2021-01-01,Government,Middle East & Africa,Insider Threat,Insider,92536,40.03,91771,23.47,5.09,12,0,0,0,0
INC-00019,2022-02-16,Manufacturing,Europe,Phishing,Hacktivist,58259,25.59,0,30.89,5.49,6,46323,1,0,0
INC-00020,2021-10-18,Finance,Asia Pacific,Malware,State-Sponsored,11945,10.78,0,50.67,5.49,10,0,0,1,0
INC-00021,2022-04-24,Energy,Europe,Insider Threat,State-Sponsored,107592,29.48,38493,1,4.88,4,0,1,0,0
INC-00022,2024-05-13,Energy,Latin America,Credential Theft,State-Sponsored,135222,0.5,47267,38.39,3.93,10,0,0,0,0
INC-00023,2021-05-28,Retail,Middle East & Africa,DDoS,Insider,101444,38.23,62308,1,4.75,10,0,0,0,0
INC-00024,2021-10-25,Technology,Europe,Insider Threat,State-Sponsored,5069,9.2,5548,30.3,3.84,11,6821,1,0,0
INC-00025,2024-07-19,Government,Europe,Insider Threat,Unknown,111526,22.32,9881,63.64,5.89,6,0,0,0,0
INC-00026,2022-05-13,Manufacturing,Europe,Credential Theft,Hacktivist,107353,57.81,0,35.23,7.47,11,0,1,0,0
INC-00027,2022-08-05,Healthcare,Asia Pacific,DDoS,Insider,240239,32.87,0,13.64,5.49,13,77817,0,0,0
INC-00028,2021-10-20,Education,North America,Credential Theft,Cybercriminal Group,22555,16.53,43437,22.2,5.9,9,22032,1,1,0
INC-00029,2021-06-13,Manufacturing,Middle East & Africa,Ransomware,State-Sponsored,606612,31.36,52908,45.34,8.27,13,23313,0,1,0
INC-00030,2021-11-17,Manufacturing,Latin America,Malware,State-Sponsored,132293,39.88,23562,27.78,3.62,13,26533,0,0,0
INC-00031,2021-01-22,Finance,Asia Pacific,Ransomware,Insider,109810,52.16,167726,29.97,10,8,114895,0,1,0
INC-00032,2024-03-10,Government,Middle East & Africa,Ransomware,State-Sponsored,92334,61.24,191105,27.73,8.32,14,11065,1,0,0
INC-00033,2021-01-23,Finance,Asia Pacific,DDoS,Unknown,38303,35.47,47003,51.71,6.69,18,2263,0,0,0
INC-00034,2022-04-28,Energy,Middle East & Africa,Credential Theft,Hacktivist,141630,5.21,19774,19.56,4.53,13,0,1,1,0
INC-00035,2023-03-16,Healthcare,Middle East & Africa,Supply Chain,Unknown,119262,50.1,59854,16.71,9.26,10,11677,0,1,1
INC-00036,2021-07-06,Manufacturing,Middle East & Africa,Supply Chain,Insider,61980,6.46,62108,52.75,5.08,8,10907,0,1,0
INC-00037,2023-05-17,Energy,North America,Malware,Cybercriminal Group,37272,11.19,84810,48.1,5.05,10,0,0,1,0
INC-00038,2023-09-13,Retail,North America,Supply Chain,Hacktivist,416367,3.54,26819,67.69,5.71,9,0,1,1,0
INC-00039,2023-08-20,Technology,Europe,DDoS,Hacktivist,100481,18.46,22245,37.93,4.64,2,22320,1,0,0
INC-00040,2023-03-13,Education,Europe,Phishing,State-Sponsored,51136,19.72,11343,3.78,4.55,12,0,1,0,0
INC-00041,2023-10-19,Healthcare,Asia Pacific,Phishing,Hacktivist,217610,75.48,24522,1,9.49,7,24235,1,0,0
INC-00042,2022-07-04,Retail,Latin America,Malware,Cybercriminal Group,65087,29.14,0,60.49,5.23,12,23822,1,0,0
INC-00043,2021-08-28,Government,Latin America,Insider Threat,Insider,58814,16.54,30657,35.84,6.65,10,0,0,1,0
INC-00044,2024-11-13,Education,North America,Insider Threat,State-Sponsored,17315,17.21,0,64.75,6.76,8,0,0,1,0
INC-00045,2022-09-22,Retail,North America,Ransomware,Hacktivist,147128,24.57,362196,21.69,4.77,9,0,1,0,0
INC-00046,2023-04-25,Healthcare,Latin America,Phishing,Unknown,123455,16.35,0,34.49,5.19,16,47042,1,0,0
INC-00047,2023-09-17,Energy,Asia Pacific,Phishing,Cybercriminal Group,13932,21.37,76909,59.87,4.58,5,0,0,0,0
INC-00048,2022-12-03,Finance,North America,Ransomware,Insider,39452,11.63,82127,38.15,6.64,15,0,0,1,0
INC-00049,2021-06-21,Technology,North America,Credential Theft,State-Sponsored,172915,18.64,35216,43.32,4.28,14,8308,1,0,0
INC-00050,2021-02-02,Education,Europe,Phishing,Unknown,21684,33.33,0,10.33,4.83,16,56986,0,1,0
INC-00051,2022-07-19,Manufacturing,Asia Pacific,Supply Chain,Hacktivist,21732,23.5,73792,8.56,4.67,12,0,1,1,0
INC-00052,2022-06-23,Healthcare,Latin America,Credential Theft,Insider,41529,42.59,57092,5.47,8.24,10,3667,0,0,0
INC-00053,2021-10-22,Energy,Middle East & Africa,Credential Theft,Insider,105299,52.26,23480,53.64,6.51,6,0,0,1,0
INC-00054,2022-02-17,Finance,North America,Supply Chain,Unknown,217027,5.24,136444,55.84,6.41,5,1228,0,0,0
INC-00055,2022-06-04,Technology,Middle East & Africa,Credential Theft,State-Sponsored,224017,46.63,96668,35.33,7.79,20,74434,1,1,0
INC-00056,2021-04-15,Technology,Latin America,Insider Threat,Cybercriminal Group,16141,23.02,43996,41.17,6.09,8,18501,0,1,0
INC-00057,2022-10-27,Manufacturing,Europe,DDoS,Insider,197148,47.71,84061,26.81,7.26,8,73971,0,0,1
INC-00058,2024-01-20,Education,Asia Pacific,Ransomware,Unknown,115491,37.07,163321,36.95,7.16,12,0,1,1,0
